CSZJJ No.,CSZJJ Title,Taisho No.,File,Summary
1386,恒水戒經,T 33,$nti/t0033_01.txt,"The Buddha, surrounded by disciples and a large assembly, arrives at the Ganges River. During a discourse, the Buddha explains the difficulty of obtaining human form, encountering the Buddha's teachings, entering the Buddhist path, and upholding its precepts. He emphasizes the importance of adhering to the precepts, comparing the consequences of violating them to various unpleasant analogies, and highlights that the Buddha Dharma does not increase or decrease with followers. The Buddha stresses the rarity and importance of the sutras and states that he will not discourse on them anymore."
1387,寂志果經,T 22,$nti/t0022_01.txt,"King Ajatasattu of Magadha, troubled by persistent unease, seeks advice from his court on how to alleviate his worries. After several suggestions, the physician Jivaka suggests visiting the Buddha, which the king agrees to. The king consults the Buddha on whether worldly pursuits and offerings lead to enlightenment, revealing his previous unsuccessful inquiries with other teachers who offered nihilistic or confusing answers. The Buddha then elucidates the path to enlightenment through virtuous living, ethical conduct, meditation, and the relinquishment of worldly attachments, and conversion of the king."
1394,戒消災經,T 1477,$nti/t1477_01.txt,"A man traveling abroad breaks his vow to abstain from alcohol and is banished by his parents. He finds refuge in another country, where the host worships three powerful but malevolent spirits. Through the traveler's adherence to the remaining four of the five precepts of Buddhism, the spirits are driven away, and the host is inspired to take refuge in the Buddha. The duo later encounters 498 people, and they all return to the Buddha and become enlightened."
1398,法滅盡經,T 396,$nti/t0396_01.txt,"The Buddha, nearing his Nirvana, foretells the decline of Buddhist Dharma. He describes an era characterized by moral decay, selfish monks, and a lack of genuine practice, with women being more devoted than men. Natural disasters and shortened lifespans will occur as the Dharma fades, with scriptures disappearing and monastic robes turning white. Eventually, Maitreya will appear and restore peace and prosperity to the world after a long period of decline."
1407,是我所經,T 154 (5),taisho/t0154_n05.txt,"The Buddha recounts the story of a wealthy but miserly man who hoarded his vast fortune, neglecting his family, and failing to make charitable donations. This man's behavior is compared to a bird in a past life who jealously guarded medicinal fruits, only to have them taken away by others. The Buddha emphasizes that such attachment to wealth is futile because upon death, one cannot take their possessions with them. Instead, the Buddha advises his disciples to cultivate virtue, practice generosity, and purify their minds to prepare for the afterlife, unlike the man who will face regret at the end of his life."
1408,阿耨風經,T 58,$nti/t0058_01.txt,"The Buddha, after bathing with Ananda, discusses the fate of Devadatta, stating he is destined for hell due to the complete absence of any redeeming qualities. He then proceeds to explain the characteristics of different types of individuals based on their potential for good or evil, focusing on how their thoughts and actions lead to either increasing virtue or increasing vice. The discourse outlines six types of people, categorizing them based on whether their good or bad qualities will increase, decrease, or lead to ultimate liberation."
1414,惟日雜難經,T 760,$nti/t0760_01.txt,"This text discusses the practices and intentions of Bodhisattvas, contrasting them with those of Arhats. It outlines the different stages and paths towards enlightenment, highlighting the importance of compassion, wisdom, and skillful means for Bodhisattvas aiming to liberate all beings. It emphasizes that Bodhisattvas delay their own liberation to help others and cultivate virtues like giving, morality, and patience to attain Buddhahood. Certain obstacles and beneficial practices for achieving enlightenment are identified, alongside characteristics that distinguish Bodhisattvas from those seeking individual liberation."
1419,內身觀章經,T 610,$nti/t0610_01.txt,"The text explores the impermanence and ultimately unsatisfactory nature of the physical body, describing it as a collection of impermanent parts and processes, prone to decay and suffering. It emphasizes that clinging to the body as ""self"" is a source of delusion and that true wisdom lies in recognizing its inherent emptiness. The text also identifies eleven conditions that hinder enlightenment, advising practitioners to avoid them in order to progress on the path to liberation."
1420,忠心政行經,T 743,$nti/t0743_01.txt,"The Buddha tells a group of monks, bodhisattvas, and other followers about five internal ""thieves"" and five external deceptions that lead people to evil paths. He emphasizes the importance of focusing the mind, understanding the cycle of suffering (twelve causes and conditions), and practicing mindfulness to escape the cycle of rebirth. The Buddha instructs them to contemplate their bodies, sensations, thoughts, and laws, and to cultivate compassion towards all beings, ultimately achieving enlightenment and liberation from suffering."
1422,罪業報應經,T 747a,$nti/t0747a_01.txt,"The Buddha, while at a large tree, explains to Ananda the relationship between one's actions and their resulting rewards or punishments in future lives. Virtuous deeds like generosity, upholding precepts, and practicing patience lead to positive outcomes such as wealth, longevity, and beauty, while negative actions like anger, stealing, and harming others result in suffering and undesirable rebirths. The Buddha emphasizes the importance of personal effort in accumulating merit and cautions against laziness, highlighting that good and bad deeds inevitably follow a person like a shadow. He concludes by stating that understanding this cycle of cause and effect leads to enlightenment and liberation from suffering."
1425,摩訶剎頭經,T 696,$nti/t0696_01.txt,"According to the Buddha, all Buddhas are born, renounce worldly life, achieve enlightenment, and reach nirvana on the eighth day of the fourth month. This day is auspicious because it is a time of renewal and harmony, free from harsh weather and rampant disease. People should commemorate the Buddha's virtues by bathing Buddha images, which is believed to bring immense blessings and fulfill various desires, from spiritual enlightenment to worldly prosperity and long life."
1429,金剛清淨經,T 644,$nti/t0644_01.txt,"The Buddha is residing in a grand hall surrounded by a large assembly of monks, bodhisattvas, deities, and other beings. Maitreya Bodhisattva asks the Buddha about entering the Samadhi of All Powers (Shurangama Samadhi), and how to cultivate wisdom to attain the Diamond Samadhi and achieve enlightenment. The Buddha explains the stages of bodhisattva development and details the 100 Samadhis, which are essential for entering the Diamond Samadhi. The Buddha concludes by emphasizing the benefits of hearing, practicing, and sharing this teaching, promising future encounters with Buddhas and bodhisattvas for those who embrace it."
1438,淨除業障經,T 1494,$nti/t1494_01.txt,"The Buddha is residing in a garden and teaching a large assembly of monks and bodhisattvas when a monk named Immaculate Light breaks a vow after being tricked by a courtesan. Overcome with guilt, he seeks guidance from Manjushri Bodhisattva and ultimately the Buddha. The Buddha teaches him, and the assembly, that all phenomena are like dreams and illusions, lacking inherent existence and therefore free from defilement and karmic consequences. Immaculate Light understands the teaching, rejoices, and is prophesied to become a future Buddha."
1443,相應相可經,T 111,$nti/t0111_01.txt,"The Buddha addresses the monks, stating that people with similar qualities tend to congregate, correspond, and harmonize with each other. He provides various examples of this principle, contrasting those who are unlearned with the learned, the greedy with the generous, and the ethical with the unethical. The Buddha advises the monks to discern these relationships and to practice what is right and avoid what is wrong."
1444,商人求財經,T 26 (136),taisho/t0026_n136.txt,"The Buddha recounts a story of merchants who set sail to find treasure, only to be shipwrecked and lured to an island of beautiful, but dangerous, demon women. A wise merchant discovers the women are cannibalistic and learns from other captured merchants that a magical horse can help them escape. The horse warns that only those who can resist the allure of the women and their treasures can ride it to safety, otherwise, they will fall and be devoured. The Buddha uses this story as a metaphor for monks who must resist attachment to the self (eyes, ears, thoughts etc.) and the world (colors, sounds etc.) to achieve enlightenment and avoid being consumed by suffering."
1450,前世三轉經,T 178,$nti/t0178_01.txt,"The Buddha, in the presence of a large assembly, emits radiant light and smiles, prompting Ananda to inquire about the reasons behind this extraordinary display. The Buddha recounts a past life where he was a woman who sacrificed her breasts to feed a starving mother, later transformed into a man-king who ruled with righteousness and generosity, and finally, as a Brahmin who offered his body to a starving tiger. This story illustrates the Buddha's past lives of intense devotion and self-sacrifice, emphasizing the immense merit gained through acts of generosity and compassion."
1459,阿含正行經,T 151,$nti/t0151_01.txt,"The Buddha teaches the monks about the five internal ""thieves"" and the importance of controlling the senses and mind to avoid suffering and negative rebirths. He explains the cycle of dependent origination and emphasizes the significance of ethical conduct, mindfulness, and concentration in achieving liberation from the cycle of birth and death. The Buddha urges the monks to purify their minds, practice diligently, and cultivate compassion for all beings to attain enlightenment and escape the suffering of the five realms."
1461,摩訶乘寶嚴經,T 351,$nti/t0351_01.txt,"The Buddha, while at Vulture Peak Mountain, expounds on the qualities that lead a Bodhisattva to either lose or gain insight, forget their aspiration, or diminish or increase their virtuous actions. He explains how Bodhisattvas should cultivate certain virtues, avoid specific pitfalls, and recognize both helpful and harmful influences. The sutra emphasizes the importance of truthful observation of the nature of reality, and details practices to develop wisdom and ultimately benefit all beings."
1468,父母恩難報經,T 684,$nti/t0684_01.txt,"The Buddha teaches that children can never fully repay the great kindness of their parents who nurtured them. He explains that even carrying one's parents for a thousand years, even if they were to soil one's back, would be insufficient repayment. Rather, children can best repay their parents by guiding them to faith, morality, knowledge, generosity, and ultimately to believe in the Buddha, the Dharma, and the Sangha, leading them to enlightenment and a higher spiritual path."
1480,犯戒罪報輕重經,T 1467,$nti/t1467a_01.txt,"The Buddha, residing in the Bamboo Grove at Rajagrha, answers a question from Maudgalyayana about the consequences of monks and nuns violating monastic rules due to a lack of shame and respect for the Buddha's teachings. The Buddha explains that different levels of transgression, such as violating minor or major precepts, result in vastly different periods of suffering in hell realms, equivalent to immense spans of human years. Maudgalyayana expresses joy and then recites a verse highlighting the relationship between actions and their consequences, emphasizing the importance of observing precepts to avoid suffering and attain liberation."
1481,大乘方等要慧經,T 348,$nti/t0348_01.txt,"The text recounts a dialogue between the Buddha and the Bodhisattva Maitreya in the kingdom of Shravasti. Maitreya asks the Buddha how a Bodhisattva can attain non-regression on the path to enlightenment, advance in the Mahayana teachings, subdue demonic forces, understand the nature of all things, and quickly achieve supreme wisdom. The Buddha praises Maitreya's question and explains that a Bodhisattva equipped with eight qualities can swiftly attain supreme enlightenment. These eight qualities include inner purity, accomplished conduct, accomplished giving, accomplished vows, compassion, loving-kindness, skillful means, and wisdom."
1484,仁王護國般若波羅蜜經,T 245,taisho/t0245.txt,"The scripture details the benefits of reciting the Prajna Paramita Sutra for protecting a country from various calamities and for personal well-being, recounting stories of kings who averted disaster through its recitation. It emphasizes the importance of supporting and respecting the fourfold Buddhist community and warns against actions by rulers or monastic communities that could lead to the decline of Buddhist teachings and societal harmony. The text also describes the transformative power of understanding emptiness and practicing compassion, as well as the importance of wisdom for achieving enlightenment and benefiting all beings."
1485,阿難陀目佉尼呵離陀經,T 1013,$nti/t1013_01.txt,"This text presents a Dharani, or a sacred incantation, associated with the Bodhisattva Avalokitesvara, who embodies great compassion. The Dharani is a string of Sanskrit mantras intended to invoke the bodhisattva's power and offer protection from various fears and calamities. It includes praises and specific sounds designed to bring about auspiciousness and the fulfillment of wishes. It concludes with a section on offering food, signifying generosity and compassion towards all beings."
1509,四品學法經,T 771,$nti/t0771_01.txt,"This text categorizes Buddhist practice into four levels: true learning, upholding the precepts, relying on blessed precepts, and detached service. True learning, characterized by full precepts, knowledge of scriptures, and the ability to convert others, is considered the highest. The text outlines the qualities and virtues associated with each level, emphasizing that even detached service, though not a formal precept, is significantly better than ordinary life. Ultimately, the text encourages practitioners to strive for higher levels of practice to escape suffering and attain liberation."
1511,四未曾有法經,T 136,$nti/t0136_01.txt,"The Buddha describes four unprecedented qualities possessed by a Wheel-Turning King: being loved by the people like a father, bringing joy to the people when seen, providing teachings that are endlessly appreciated, and giving instructions that the people eagerly follow. These four qualities are then mirrored in the Venerable Ananda, who brings joy and endless satisfaction with his teachings to monks, nuns, laymen, and laywomen. The sutra highlights Ananda's popular appeal and skill in delivering the Dharma to various audiences within the Buddhist community. The text is intended to praise Ananda by comparing his virtues to those of an ideal righteous ruler."
1513,四人出現世間經,T 127,$nti/t0127_01.txt,"The Buddha teaches King Pasenadi about four types of people in the world, categorized by their initial and final states in life, focusing on their actions and attitudes towards others. These categories are: those who start poor and end well through good deeds, those who start rich and end poorly due to bad actions, those who start and end poorly, and those who start and end well. The Buddha emphasizes the importance of virtuous behavior, respect for others, and generosity, leading to a favorable rebirth, while condemning evil actions and wrong views which lead to suffering. The King is encouraged to emulate those who are good in the beginning and end, avoiding those who are bad in the beginning and end."
1518,七寶經,T 26 (58),taisho/t0026_n058.txt,"The text recounts the Buddha explaining to monks that just as the emergence of a Wheel-Turning King is accompanied by the appearance of seven treasures, so too is the emergence of a Tathagata accompanied by the appearance of seven factors of enlightenment. These seven treasures of enlightenment are mindfulness, investigation of the dharma, energy, joy, tranquility, concentration, and equanimity. The Buddha emphasizes the importance of these factors for those seeking enlightenment."
1526,十一思惟念如來經,T 138,$nti/t0138_01.txt,"The Buddha teaches monks about eleven thoughts to contemplate the Tathagata (Buddha), which will cultivate loving-kindness. By practicing these eleven contemplations, monks can attain certain fruits in their practice, ultimately leading to a state of liberation. Furthermore, the Buddha describes eleven benefits that arise from practicing and spreading loving-kindness, including peaceful sleep, protection from harm, and rebirth in a heavenly realm. Therefore, the monks are encouraged to diligently cultivate and spread loving-kindness."
1527,十二遊經,T 195,$nti/t0195_01.txt,"This text recounts the story of a Bodhisattva who, as a former king, renounced his throne to seek enlightenment, adopting a Brahmin's way of life and name. He was later wrongly accused of robbery and sentenced to death, prompting the Brahmin to miraculously create two children from the Bodhisattva's blood. The narrative then shifts to describing the lineage of kings and the gradual decline of human lifespan, culminating in the future Buddha's decision to be reborn into the family of King Suddhodana, foreshadowing his birth and early life."
1529,十二頭陀經,T 783,$nti/t0783_01.txt,"The text describes the origin and exposition of the twelve ascetic practices (dhuta) for monks dwelling in solitary places. The Buddha explains to Mahākāśyapa the benefits and details of these practices, which include living in remote areas, begging for food, eating only one meal a day, wearing patched robes, dwelling in cemeteries or under trees, and abstaining from lying down. The practices are meant to detach from worldly desires, purify the mind, and advance on the path to enlightenment."
1534,慈仁問八十種好經,T 2867,taisho/t2867.txt,"The text explains the causes and conditions for the Buddha's eighty kinds of excellent characteristics. It details how specific virtuous actions and mental states in past lives lead to particular physical perfections in the Buddha's present form. These actions include generosity, kindness, upholding precepts, and teaching others. Ultimately, the text illustrates how moral conduct and compassionate intentions cultivate exceptional qualities."
1537,寶積三昧文殊師利菩薩問法身經,T 356,$nti/t0356_01.txt,"The Buddha, while residing at Mount Gijjhakuta, engages in a dialogue with Manjushri Bodhisattva about the nature of the ""Treasure Accumulation"" Samadhi and the Dharmakaya (Dharma Body). Manjushri questions the Buddha on various aspects of the Dharmakaya, including its characteristics, its relationship to the world, and its connection to concepts like nirvana and enlightenment. Sariputra later joins the conversation, and Manjushri questions him to determine his understanding of the Dharmakaya. The text concludes by emphasizing the merit of propagating this Dharma, highlighting its profound meaning despite its concise form."
1539,自誓三昧經,T 622,$nti/t0622_01.txt,"When the Buddha entered a meditative state, countless Buddhas from other worlds sent bodhisattvas with lotus flowers as offerings, praising the Buddha's achievements and foretelling his future Buddhahood and benefit to sentient beings. The Buddha smiled, emitting light that illuminated all worlds, enabling beings to see their past lives and awakening their aspiration for enlightenment. The Buddha then explained three reasons for a Buddha's smile, highlighting the bodhisattvas' advanced spiritual progress, dedication to liberating beings, and imminent incarnation as a Buddha."
1540,佛印三昧經,T 621,$nti/t0621_01.txt,"The Buddha, surrounded by a vast assembly of monks, bodhisattvas, and other beings, enters a profound meditative state (samadhi) that makes his physical form disappear. This event prompts questions from bodhisattvas like Maitreya, who seek to understand the nature of the Buddha's samadhi. The Buddha reveals that this samadhi is difficult to encounter and comprehend, but those who embrace it and the wisdom it represents will swiftly attain enlightenment and Buddhahood, while those who doubt it will suffer greatly. Embracing the teaching brings great blessings, leading to celestial and earthly rebirths, and ultimately Buddhahood."
1541,法華三昧經,T 269,$nti/t0269_01.txt,"The Buddha is in a mountain surrounded by disciples when he emits a great light, causing confusion and wonder among the assembly. A princess named Profit Practice asks the Buddha about the nature of this light and the path to achieving such a state. The Buddha explains the Lotus Flower Samadhi and the means to attain it, emphasizing understanding the illusory nature of existence and practicing detachment from desires. Ultimately, many in the assembly, including the princess (who transforms into a man), and a king and his son, achieve enlightenment and dedicate themselves to spreading the Dharma, leading to widespread transformations and spiritual awakening."
1542,月燈三昧經,T 640,$nti/t0640_01.txt,"The Buddha, while in Jetavana, teaches Manjushri and a large assembly about ten aspects of practice for bodhisattvas. These aspects include generosity, keeping precepts, patience, diligence, meditation, wisdom, understanding, upholding the Dharma, practicing emptiness, solitary practice, secluded practice and proper conduct. Each of these practices are further described with ten specific qualities or benefits. Upon hearing this discourse, many individuals achieve enlightenment and the assembly rejoices in the Buddha's teachings."
1548,禪要呵欲經,T 609,$nti/t0609_01.txt,"This text discusses methods for practitioners to overcome desires while seeking enlightenment through meditation. It advises cultivating pure faith and戒, then eliminating desires related to form, appearance, demeanor, speech, and physical sensations by contemplating the impurity of the body. This involves contemplating the decaying corpse and one's own body as a collection of impure substances, encouraging disgust and detachment. The text also emphasizes reflecting on the impermanence of life and the necessity of diligently subduing the mind to escape suffering."
1559,水喻經,T 26 (4),taisho/t0026_n004.txt,"The Buddha describes seven types of people using the metaphor of someone in water, ranging from those submerged to those who have crossed to the far shore. These stages represent spiritual progress, from being consumed by negativity and lacking faith, to achieving enlightenment and liberation from suffering. The path involves developing faith, practicing good deeds, understanding suffering and its causes, and ultimately breaking free from worldly attachments to reach a state of complete liberation. The monks, upon hearing this teaching, rejoice and practice accordingly."
1564,群牛譬經,T 215,$nti/t0215_01.txt,"The Buddha tells a story of an ass who tries to imitate well-behaved cattle by eating soft grass and drinking clean water, but is rejected by them because it cannot truly be like them. Similarly, a corrupt monk may try to imitate virtuous monks in their practices and demeanor to gain material benefits, but is ultimately exposed and expelled from their community. The Buddha advises monks to abandon non-virtuous practices and diligently cultivate virtuous ones. This story emphasizes the importance of genuine practice and the rejection of hypocrisy within the monastic community."
1568,鼈喻經,T 154 (35),taisho/t0154_n35.txt,"A giant turtle, mistaken for land by merchants, is disturbed and burned by their activities. In pain, it plunges into the ocean, drowning the merchants and their animals. This parable represents people in the three realms, the five aggregates, and the twelve links of dependent origination, suffering due to the fires of the three poisons. The Buddha, with his wisdom, comes to rescue people from this suffering, obscured by their sins, and guides them towards enlightenment."
1570,箭喻經,T 94,$nti/t0094_01.txt,"A monk questions the Buddha about various metaphysical issues, such as the permanence of the world and the nature of life after death, stating he will only follow the Buddha if he provides definitive answers. The Buddha rebukes the monk, pointing out he never promised such answers and that dwelling on these questions is like refusing to remove a poisoned arrow until one knows every detail about it. The Buddha emphasizes that the important thing is to address the suffering at hand, focusing on understanding and ending suffering, rather than getting caught up in unproductive speculation."
1572,毒喻經,T 154 (37),taisho/t0154_n37.txt,"A family known for using poison to gain wealth was ostracized by their community, unable to find spouses for their children. Eventually, they found a bride from a poor family in another country unaware of their practices. The bride was pressured to continue the family's tradition of poisoning, but refused. Tormented by a manifestation of the poison spirit, she was eventually rescued by her parents who forced the husband's family to abandon their poisonous ways to keep her."
1584,阿彌陀佛偈,T 1978,$nti/t1978_01.txt,"This is a hymn in praise of Amitabha Buddha, expressing reverence and the desire to be reborn in the Pure Land. It repeatedly praises Amitabha's qualities, particularly the immeasurable light, and describes the wonders of the Pure Land. The hymn also seeks blessings for oneself and all beings to be reborn in that blissful realm. Finally, the hymn praises Bodhisattvas in the Pure Land."
1585,後阿彌陀佛偈,T 373,$nti/t0373_01.txt,"This text describes the vows and virtues of a past monk who became a Buddha with immeasurable light and life. It details the pure and joyful land he resides in, filled with fragrant trees and rivers that sing like scriptures. The poem emphasizes the importance of faith in this Buddha, warning against doubt and encouraging devotion to be reborn in his blessed realm. Finally, it urges followers to protect the Buddha's teachings, especially in times of decline, and to practice diligently for boundless blessings."
1593,灌頂七萬二千神王護比丘呪經,T 1331 (1),$nti/t1331_01.txt,"While traveling, the Buddha noticed distressed monks who were being harassed by various beings and sought guidance. To help them, the Buddha taught them protective mantras, consisting of the names of numerous divine kings and their retinues. These mantras were said to ward off evil, ensure safety, and bring good fortune to those who recited them. The Buddha instructed that these powerful teachings should only be shared with virtuous individuals who uphold Buddhist precepts and compassion."
1594,灌頂十二萬神王護比丘尼呪經,T 1331 (2),$nti/t1331_02.txt,"The Buddha, dwelling in a garden, addressed concerns about seven nuns being harassed by evil spirits in a cemetery. These spirits disturbed their meditation and prevented them from obtaining food. The Buddha then summoned numerous powerful deities, including those from Mount Sumeru and the ocean, to protect the nuns from malevolent entities. These deities were tasked with safeguarding the nuns, ensuring their peace, and repelling any harmful spirits that dared to approach."
1595,灌頂三歸五戒帶佩護身呪經,T 1331 (3),$nti/t1331_03.txt,"When a Brahmin seeks refuge in the Buddha, the Buddha teaches him the three refuges and five precepts, promising protection from thirty-six good deities dispatched by the Four Heavenly Kings. By upholding these precepts, one gains the protection of twenty-five additional deities, each responsible for safeguarding different aspects of the individual's well-being, warding off evil, and ensuring peace. The text emphasizes that those who break these precepts are vulnerable to various misfortunes and even demonic influences, while consistent adherence brings protection, blessings, and a favorable rebirth."
1596,灌頂百結神王護身呪經,T 1331 (4),$nti/t1331_04.txt,"When the Buddha realized that moral decay would set in after his nirvana, with evil spirits and dragons harming people, the god Indra requested a powerful protective mantra. The Buddha then revealed the names of a hundred divine kings residing on Mount Sumeru, each with a specific ability to safeguard individuals who embrace the Three Refuges and wear a knotted cord inscribed with their names. These divine kings offer protection from various threats, including evil spirits, poison, wild animals, legal troubles, difficult childbirth, and illnesses."
1597,灌頂宮宅神王守鎮左右呪經,T 1331 (5),$nti/t1331_05.txt,"The Buddha, while in Magadha, tells a story about a village plagued by demonic disturbances and their reliance on superstitious practices like animal sacrifices to appease spirits. A villager, Kalananda, seeks help from Brahmins who advise him to increase the sacrifices, but the Buddha sends his disciple Maudgalyayana to dispel the evil spirits with protective mantras, converting the villagers to the Buddhist faith. The Buddha then teaches a set of divine names and corresponding incantations to protect homes and ward off evil from all directions, emphasizing their power to banish malevolent entities. It is proclaimed that chanting these divine names brings protection and good fortune, while disrespecting them leads to negative consequences."
1598,灌頂塚墓因緣四方神呪經,T 1331 (6),$nti/t1331_06.txt,"Shortly before his passing in Kusinagara, the Buddha addressed a large gathering about proper funerary practices, explaining the customs for both enlightened beings and common people, and how they differed in places like the land of the ""震旦"". He described the potential for spirits to inhabit burial sites and cause disturbances, especially in the absence of virtue or proper practice. The Buddha then revealed four powerful incantations, each connected to a cardinal direction and a celestial king, to dispel malevolent entities and provide protection for those visiting or maintaining tombs and stupas."
1599,灌頂伏魔封印大神呪經,T 1331 (7),$nti/t1331_07.txt,"The Buddha, in response to a request from Indra, teaches about a divine seal and associated mantras to protect against evil spirits and illnesses. This involves visualizing the Buddha, his disciples, and five powerful deities, each associated with a cardinal direction and a specific color. By invoking these deities and their numerous spirit attendants, one can create a protective barrier, warding off negative influences and promoting well-being. The Buddha also mentions seven gods that can be invoked to protect people's homes and drive away the evil."
1600,灌頂摩尼羅亶大神呪經,T 1331 (8),$nti/t1331_08.txt,"This sutra describes the Buddha teaching the Mani Ratna Great Dharani Sutra, aimed at protecting people from evil spirits and calamities. The Buddha invokes the names of past Buddhas, great bodhisattvas, and powerful disciples, along with celestial beings, dragon kings, and benevolent deities, who have all vowed to safeguard practitioners in the degenerate age after the Buddha's passing. Additionally, the sutra lists names of various malevolent spirits, demons, and mountain spirits that cause harm, instructing practitioners to recite these names to neutralize their negative influence and receive blessings. It emphasizes the importance of pure faith, proper guidance, and the right mindset for effectively practicing the dharani and benefiting from its protective power."
1601,灌頂召五方龍王攝疫毒神呪經,T 1331 (9),$nti/t1331_09.txt,"The Buddha, while in the Jeta Grove in the city of Shravasti, explains to Ananda the cause of a plague in the country of Vaishali: the killing of animals and consuming of their flesh. To remedy this, the Buddha instructs on how to summon the Dragon Kings of the five directions to subdue poisonous dragons and spirits causing disease, providing their names and realms. Reciting the Dragon Kings' names and observing virtuous practices can alleviate suffering and restore health, as demonstrated by the actions of a monk named Shandhi and a layperson named Qiu Ruoxian, who used the incantation to heal people and drive away evil spirits."
1608,七佛神呪,T 1333,$nti/t1333_01.txt,"The text describes an event where the Buddha, surrounded by bodhisattvas and monks, observes suffering beings. The Bodhisattva of Akasagarbha (Space Treasury) asks the Buddha to teach a dharani to cure illnesses and remove obstacles caused by evil spirits. In response, the Buddha manifests six other Buddhas, and each Buddha proceeds to teach a dharani mantra, each with specific benefits and applications for healing and protection. Akasagarbha also shares a dharani at the end that helps protect the dharanis from the Buddhas."
1611,華積陀羅尼神呪,T 1356,$nti/t1356_01.txt,"The text describes a scene where the Buddha is teaching about the merits of making offerings to the Buddha, whether directly or to relics after the Buddha's passing. It emphasizes that even small acts of devotion, such as offering a single flower with sincere faith, can lead to immense blessings and prevent rebirth in lower realms. The Buddha then introduces the ""Flower Accumulation Dharani"" (華積陀羅尼), promising that those who uphold, recite, and practice this mantra will gain wisdom, perfect memory, and ultimately achieve enlightenment, seeing the Buddha in dreams and understanding all teachings."
1616,持句神呪,T 1351,$nti/t1351_01.txt,"The Buddha is residing at Jetavana Monastery when two Bodhisattvas arrive from a distant world to inquire about his well-being and the peace of the land. They bring with them a Dhāraṇī (a type of mantra) sent by their Buddha to protect beings from harm, grant peace, and ensure good fortune. The Buddha then teaches the Dhāraṇī to Ānanda, highlighting its rarity and the immense benefits it offers, including protection from various dangers and knowledge of past lives. He adds two more dhāraṇīs and explains how to recite them when faced with various dangers and challenges."
1622,幻師颰陀神呪,T 1378b,$nti/t1378b_01.txt,"The Buddha was in a bamboo grove when a monk was attacked by a snake, harassed by spirits, and robbed. A wizard named 颰陀 offered to use spells, but the Buddha cautioned against harm. 颰陀 then recited a spell to protect monks and disciples from various dangers, enemies, and malevolent spirits, promising safety and freedom from illness, ultimately urging reliance on the Buddha for liberation."
1624,摩尼羅亶神呪,T 1393,$nti/t1393_01.txt,"The Buddha, while at Jetavana Vihara in Shravasti, spoke to a gathering of monks, nuns, laymen and laywomen about the Mani-rocana Sutra to alleviate the suffering of the people. The sutra lists names of Buddhas and various malevolent ghosts and spirits that cause illnesses and misfortune. By reciting the names of these ghosts and the Mani-rocana Sutra, people can break the power of these spirits and recover from sickness. The Buddha assures the assembly that these words are from the mouth of all the Buddhas and that all will be healed upon hearing the sutra."
1625,檀特羅麻油述神呪,T 1391,$nti/t1391_01.txt,"The Buddha, while in Magadha, addresses Rahula's distress over being disturbed by spirits. The Buddha explains that various spirits might harass people to test their resolve. The Buddha provides a mantra, the Tantramāyāśloka Sūtra, to be recited with compassion to ward off troublesome spirits. The Buddha assures that reciting this sutra will protect against harm from various sources, including malevolent people, spirits, poisons, and weapons, and instructs Rahula to teach it to others."
1637,呪時氣,T 1326,$nti/t1326_01.txt,"This text is a Buddhist sutra containing a mantra to alleviate seasonal epidemic diseases. It invokes the Buddhas of the past, present, and future, as well as their disciples, seeking the fulfillment of the mantra's power. The sutra instructs to tie a thread seven times while reciting the mantra and to write the names of spirits on paper or bark and attach it to the thread. It emphasizes the importance of maintaining purity and a focused mind while reciting the mantra."
1638,呪小兒,T 1329,$nti/t1329_01.txt,"This text presents a Buddhist mantra intended for healing children. The mantra itself consists of a series of sounds and phrases. It is believed that reciting the mantra seven times will cure ailments like headaches and stomachaches in children. The text also invokes the names of past Buddhas and their disciples, seeking their blessings to ensure the mantra's efficacy."
1639,呪齲齒,T 1327,$nti/t1327_01.txt,"This text invokes the names of the Buddha, Dharma, Sangha, and prominent disciples, focusing on a dental ailment. The text addresses a ""worm king"" residing in a tooth, commanding it and its followers to cease afflicting the tooth and root. Disobedience is threatened with dire consequences, invoking a curse to ensure compliance. The ultimate goal is to achieve the desired outcome through the recited mantra, blessed by the divine."
1649,安宅呪,T 1394,$nti/t1394_01.txt,"The Buddha, residing in the Jeta Grove, was approached by fifty worried young men seeking help because their homes were plagued by misfortune and evil spirits. The Buddha agreed to help and, after a meal at their home, summoned the protective deities and warned them against disturbing the residents. He then taught a series of mantras and spells to protect the home from evil influences, ensuring peace, prosperity, and the well-being of the household. Finally, the Buddha instructed that 49 lamps should be lit in the courtyard while one repents and bows to the Buddhas of the ten directions."
1662,不退轉輪經,T 267,taisho/t0267.txt,"The Buddha is in a garden in the country of Savatthi, surrounded by monks and bodhisattvas, teaching them about the nature of reality and the path to enlightenment. A variety of beings, including gods and demons, express their understanding of the teachings and their commitment to the Buddhist path. The sutra emphasizes the importance of understanding emptiness and non-attachment, even in the face of the complexities and challenges of the world."
1681,甘露味阿毘曇,T 1553,taisho/t1553.txt,"This text from the Abhidharma Amrita Rasa Sastra discusses topics like giving, moral conduct, the three realms (desire, form, and formless), and the nature of suffering. It details practices for cultivating merit and wisdom, including generosity, adherence to precepts, meditation, and insightful contemplation. The text also explores the various levels of consciousness, the cycle of existence, and the paths to liberation from suffering through understanding the Four Noble Truths. It emphasizes the importance of breaking free from attachment and ignorance to attain enlightenment."
